HAAA11;Hedge AAA;89,78-2,77%;44193;100;Lajes Comerciais;HEDGE INVESTMENTS;
;;44748,71181;;;;;
HABT11;Habitat Recebíveis Pulverizados;99,94-0,06%;43675;100;Recebíveis Imobiliários;VÓRTX;
;;44749,44028;;;;;
HBCR11;HBC Renda Urbana;1,0848;N/D;100;Lajes Comerciais;BANCO GENIAL;
;;44746,63819;;;;;
HBRH11;Multi Renda Urbana;84,00+1,69%;43969;100;Lajes Comerciais;BRL TRUST;
;;44749,42431;;;;;
HBTT11;Habitat I;1.055,00+1069,68%;42872;1000;Recebíveis Imobiliários;VÓRTX;
;;44104,78125;;;;;
HCHG11;Hectare Recebíveis High Grade;80,50+0,63%;44389;100;Recebíveis Imobiliários;VÓRTX;
;;44749,43958;;;;;
HCPR11;Hectare Properties;N/D;N/D;0;N/D;N/D;
HCRI11;Hospital da Criança;205,99+2,48%;38504;100;Hospital;BTG PACTUAL;
;;44749,44028;;;;;
HCST11;Hectare Desenvolvimento Student Housing;95,88-1,19%;N/D;1000;Residencial;VÓRTX;
;;44720,53681;;;;;
HCTR11;Hectare CE;114,56-0,05%;43657;100;Recebíveis Imobiliários;VÓRTX;
;;44749,44028;;;;;
HDOF11;Hedge Paladin Design Offices;110,00+10%;N/D;100;Lajes Comerciais;HEDGE INVESTMENTS;
;;44599,66319;;;;;
HFOF11;Hedge TOP FOFII 3;68,64+0,2%;43159;100;Fundo de Fundos;HEDGE INVESTMENTS;
;;44749,43958;;;;;
HGAG11;High Fiagro;N/D;N/D;0;N/D;N/D;
HGBS11;Hedge Brasil Shopping;172,86-0,14%;39427;100;Shopping/Varejo;HEDGE INVESTMENTS;
;;44749,43889;;;;;
HGCR11;CSHG Recebíveis Imobiliários;103,71-0,04%;40191;100;Recebíveis Imobiliários;CREDIT SUISSE;
;;44749,44028;;;;;
HGFF11;CSHG Imobiliário FOF;69,71-0,61%;43703;100;Fundo de Fundos;CREDIT SUISSE;
;;44749,43958;;;;;
HGIC11;HGI Créditos Imobiliários;1,1;44298;104,25;Recebíveis Imobiliários;VÓRTX;
;;44749,41667;;;;;
HGLG11;CSHG Logística;161,97+0,22%;40354;100;Logisticos;CREDIT SUISSE;
;;44749,44028;;;;;
HGPO11;CSHG Prime Offices;260,99+0,38%;40128;100;Lajes Comerciais;CREDIT SUISSE;
;;44749,41875;;;;;
HGRE11;CSHG Real Estate;129,16-0,17%;39574;100;Lajes Comerciais;CREDIT SUISSE;
;;44749,44028;;;;;
HGRS11;CSHG Residencial;N/D;N/D;0;Residencial;CREDIT SUISSE;
HGRU11;CSHG Renda Urbana;118,27+0,44%;43308;100;Híbrido;CREDIT SUISSE;
;;44749,44028;;;;;
HLOG11;Hedge Logística;87,36-0,01%;43822;100;Logisticos;HEDGE INVESTMENTS;
;;44748,66736;;;;;
HMOC11;Hedge Shopping Praça da Moça;N/D;41346;287;Shopping/Varejo;HEDGE INVESTMENTS;
HOSI11;Housi;0,6797;43882;100;Residencial;VÓRTX;
;;44749,41944;;;;;
HPDP11;Hedge Shopping Parque Dom Pedro;80,99+1,22%;43819;100;Shopping/Varejo;HEDGE INVESTMENTS;
;;44748,54722;;;;;
HRDF11;Hedge Realty Development;1,23-0,8%;43742;2;Incorporação;HEDGE INVESTMENTS;
;;44748,6625;;;;;
HREC11;Hedge Recebíveis Imobiliários;0,9659;N/D;100;Recebíveis Imobiliários;HEDGE INVESTMENTS;
;;44749,42847;;;;;
HSAF11;HSI Ativos Financeiros;93,75-0,26%;44092;100;Recebíveis Imobiliários;BRL TRUST;
;;44749,44028;;;;;
HSLG11;HSI Logística;83,25+0,47%;44180;100;Logisticos;BRL TRUST;
;;44749,43889;;;;;
HSML11;HSI Malls;76,36+0,61%;43693;100;Shopping/Varejo;SANTANDER CACEIS ;
;;44749,44028;;;;;
HSRE11;HSI Renda Imobiliária;0,9999;38876;100;Híbrido;BRL TRUST;
;;44749,41667;;;;;
HTMX11;Hotel Maxinvest;85,51-0,62%;39276;100;Hoteis;btg pactual;
;;44749,43333;;;;;
HUCG11;Hospital Unimed Campina Grande;103,00+0,32%;44699;0;Hospital;COINVALORES;
;;44748,42708;;;;;
HUSC11;Hospital Unimed Sul Capixaba;100,05-2,82%;43220;100;Hospital;RIO BRAVO;
;;44748,59444;;;;;
HUSI11;HUSI;1.070,00+2,88%;43894;1000;Hospital;PLANNER;
;;44742,61458;;;;;
IAGR11;SFI Investimentos do Agronegócio Fiagro;N/D;N/D;0;N/D;N/D;
IBCR11;CRI Integral Brei;92,37+0,23%;44419;100;Recebíveis Imobiliários;null;
;;44749,43889;;;;;
IBFF11;FOF Integral Brei;62,05-1,49%;43748;100;Fundo de Fundos;btg pactual;
;;44748,70139;;;;;
IDFI11;Unidades Autônomas;82,39+0,01%;44403;100;N/D;N/D;
;;44748,65069;;;;;
IDGR11;Unidades Autônomas II;99,76+0,8%;N/D;0;N/D;ID CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A.;
;;44676,53472;;;;;
IFIX;IFIX Índice de Fundos Imobiliários;2.790,00+0,06%;40542;1000;N/D;N/D;
;;44749,44028;;;;;
IFRA11;Itaú FIC FI-Infra;106,98+0,45%;43850;100;N/D;INTRAG;
;;44749,43958;;;;;
IRDM11;Iridium Recebíveis Imobiliários;104,24+0,23%;43167;100;Recebíveis Imobiliários;BTG PACTUAL;
